rank,seed,adj_em,adj_o,adj_d,adj_t,luck,sos_em,sos_o,sos_d,ncsos_em,wins,losses,win_pct,home_win_pct,away_win_pct,power_six,n_champs,n_ffour,n_eeight,home_proxy,massey_rank,home,season,teamID
,,,,,,,,,,,139,157,0.46959459459459457,0.5448275862068965,0.3973509933774834,0,0,0,0,0.49584595704207834,188.0,0,2012,1114
,,,,,,,,,,,97,210,0.31596091205211724,0.4766355140186916,0.23,0,0,0,0,0.5960452808910783,337.0,0,2012,1115
127.0,,4.07,106.4,102.4,69.5,0.031,2.35,103.2,100.8,-7.09,207,115,0.6428571428571429,0.7638190954773869,0.44715447154471544,1,0,0,0,0.43883517745925693,135.0,0,2012,1116
194.0,,-2.68,102.6,105.3,62.0,-0.024,0.06,102.3,102.2,3.4,128,164,0.4383561643835616,0.5808823529411765,0.3141025641025641,0,0,0,0,0.6144821293112458,174.0,0,2012,1117
,,,,,,,,,,,0,0,,,,0,0,0,0,,,0,2012,1118
297.0,,-12.92,93.7,106.7,68.2,-0.005,-8.01,99.2,107.2,-11.94,133,156,0.4602076124567474,0.5111111111111111,0.4155844155844156,0,0,0,0,0.3469209852825492,286.0,0,2012,1119
147.0,,2.1,99.6,97.5,64.0,0.027,3.58,104.7,101.1,-6.74,169,145,0.5382165605095541,0.6187845303867403,0.42857142857142855,1,0,0,0,0.4865773035461066,113.0,0,2012,1120
,,,,,,,,,,,0,0,,,,0,0,0,0,,,0,2012,1121
209.0,,-3.5,102.5,106.0,67.5,-0.03,0.84,104.2,103.4,9.54,125,169,0.42517006802721086,0.48484848484848486,0.3765432098765432,0,0,0,0,0.7575534989153445,124.0,0,2012,1122
195.0,,-2.69,100.1,102.8,62.3,-0.054,-4.63,100.1,104.7,-7.52,135,159,0.45918367346938777,0.5436241610738255,0.3724137931034483,0,0,0,0,0.9463243369801775,150.0,0,2012,1123
13.0,3.0,21.29,116.0,94.7,65.6,0.059,9.61,108.1,98.5,-2.7,217,92,0.7022653721682848,0.7428571428571429,0.6492537313432836,1,0,0,0,0.1364494754145199,12.0,0,2012,1124
25.0,14.0,16.96,117.1,100.1,67.2,-0.017,-0.32,103.4,103.7,4.69,233,74,0.758957654723127,0.8529411764705882,0.6842105263157895,0,0,0,0,0.7490393649073904,24.0,0,2012,1125
,,,,,,,,,,,103,168,0.3800738007380074,0.5277777777777778,0.2822085889570552,0,0,0,0,0.15980609335247808,258.0,0,2012,1126
344.0,,-25.99,86.5,112.5,64.6,-0.021,-7.02,98.8,105.8,-5.28,62,222,0.21830985915492956,0.25,0.19078947368421054,0,0,0,0,0.3929121076613433,304.0,0,2012,1127
,,,,,,,,,,,0,0,,,,0,0,0,0,,,0,2012,1128
154.0,,1.38,105.3,103.9,64.3,-0.081,2.77,104.1,101.3,-4.39,179,119,0.6006711409395973,0.7032258064516129,0.48951048951048953,0,0,0,0,-0.5937142099459927,154.0,0,2012,1129
261.0,,-8.67,95.7,104.3,63.8,0.048,3.88,104.5,100.6,-3.18,111,197,0.36038961038961037,0.42408376963350786,0.2564102564102564,1,0,0,0,0.4462075403879915,133.0,0,2012,1130
181.0,,-1.6,100.0,101.6,63.8,-0.014,-3.1,100.7,103.8,5.09,158,141,0.5284280936454849,0.5620437956204379,0.5,0,0,0,0,0.18671926879122147,117.0,0,2012,1131
132.0,,3.75,103.8,100.0,63.9,-0.065,1.16,103.6,102.4,1.66,149,150,0.4983277591973244,0.5666666666666667,0.42953020134228187,0,0,0,0,0.7404064089328194,191.0,0,2012,1132
260.0,,-8.46,94.9,103.4,67.4,-0.012,3.88,105.3,101.5,-1.34,129,186,0.4095238095238095,0.4942528735632184,0.3049645390070922,0,0,0,0,0.8184346340107895,118.0,0,2012,1133
,,,,,,,,,,,0,0,,,,0,0,0,0,,,0,2012,1134
310.0,,-15.73,95.2,110.9,64.1,-0.006,-3.63,100.8,104.4,-7.11,103,145,0.4153225806451613,0.5371900826446281,0.2992125984251969,0,0,0,0,0.20767352260412386,236.0,0,2012,1135
338.0,,-22.37,94.0,116.4,64.6,-0.037,-3.04,100.9,104.0,0.4,113,182,0.38305084745762713,0.5151515151515151,0.27607361963190186,0,0,0,0,0.40953584089090556,282.0,0,2012,1136
89.0,8.0,8.11,107.4,99.3,63.2,0.007,-3.12,101.5,104.6,1.59,191,111,0.6324503311258278,0.7310344827586207,0.5414012738853503,0,0,0,0,0.8402033583948665,96.0,0,2012,1137
92.0,,7.92,107.3,99.4,67.3,-0.0,2.0,104.3,102.3,2.92,194,109,0.6402640264026402,0.673469387755102,0.6089743589743589,0,0,0,0,0.566631443154896,108.0,0,2012,1138
116.0,,5.31,99.7,94.4,64.1,0.02,1.42,103.1,101.6,6.43,191,120,0.6141479099678456,0.6781609195402298,0.5328467153284672,1,0,2,2,0.9024547268053444,51.0,0,2012,1139
50.0,14.0,12.79,106.3,93.5,72.6,0.02,1.31,105.1,103.8,0.38,217,97,0.6910828025477707,0.7151162790697675,0.6619718309859155,0,0,0,0,-0.35116130919123023,11.0,0,2012,1140
253.0,,-7.99,98.5,106.5,63.9,-0.005,-0.67,101.5,102.2,1.09,128,159,0.445993031358885,0.5579710144927537,0.3422818791946309,0,0,0,0,0.3646897301904203,288.0,0,2012,1141
166.0,,0.49,104.4,103.9,59.1,-0.07,-4.14,101.6,105.7,-2.58,90,191,0.3202846975088968,0.4049586776859504,0.25625,0,0,0,0,-0.7885519896063184,163.0,0,2012,1142
29.0,12.0,16.37,111.3,94.9,65.7,-0.007,3.61,104.5,100.9,-1.83,163,154,0.5141955835962145,0.5927835051546392,0.3902439024390244,1,0,0,0,-1.0,24.0,0,2012,1143
233.0,,-6.0,103.7,109.7,67.1,0.05,-5.07,101.4,106.4,-1.74,124,163,0.43205574912891986,0.5223880597014925,0.35294117647058826,0,0,0,0,0.6054397776516944,255.0,0,2012,1144
326.0,,-18.63,94.9,113.5,65.3,0.003,-4.34,101.2,105.6,-7.7,147,151,0.49328859060402686,0.5179856115107914,0.4716981132075472,0,0,0,0,0.31944772630116125,259.0,0,2012,1145
320.0,,-17.91,93.1,111.0,71.7,0.003,-4.36,100.2,104.6,0.77,80,205,0.2807017543859649,0.4117647058823529,0.18674698795180722,0,0,0,0,0.5004686716433266,342.0,0,2012,1146
,,,,,,,,,,,0,0,,,,0,0,0,0,0.31111614604191873,,0,2012,1147
216.0,,-4.11,99.7,103.8,67.0,-0.052,-4.8,100.4,105.2,-1.81,82,207,0.2837370242214533,0.36153846153846153,0.22012578616352202,0,0,0,0,0.2817714410863136,176.0,0,2012,1148
172.0,,-0.71,104.5,105.2,69.5,0.008,-5.15,101.6,106.8,4.05,111,160,0.4095940959409594,0.5042735042735043,0.33766233766233766,0,0,0,0,0.4943984894487444,199.0,0,2012,1149
151.0,,1.65,100.0,98.4,67.6,0.003,4.25,105.8,101.6,-0.15,129,168,0.43434343434343436,0.5063291139240507,0.35251798561151076,0,0,0,0,0.4910363678933325,145.0,0,2012,1150
264.0,,-8.93,97.7,106.7,67.3,-0.115,-5.06,100.9,105.9,0.78,149,145,0.5068027210884354,0.5928571428571429,0.42857142857142855,0,0,0,0,0.6355622263887926,228.0,0,2012,1151
334.0,,-20.89,88.7,109.6,69.2,-0.048,-3.11,101.7,104.8,3.58,33,235,0.12313432835820895,0.19811320754716982,0.07407407407407407,0,0,0,0,0.8043412685703206,343.0,0,2012,1152
31.0,6.0,16.03,109.5,93.5,62.9,0.023,6.9,105.7,98.8,-9.17,236,83,0.7398119122257053,0.7845303867403315,0.6811594202898551,0,0,0,0,0.4127002859018547,21.0,0,2012,1153
323.0,,-18.01,92.6,110.6,63.4,-0.042,-4.34,101.4,105.7,-1.64,67,208,0.24363636363636362,0.2868217054263566,0.2054794520547945,0,0,0,0,0.36783311130728735,317.0,0,2012,1154
82.0,,8.65,105.5,96.8,63.1,-0.107,1.66,102.8,101.1,-5.99,173,133,0.565359477124183,0.6536312849162011,0.4409448818897638,1,0,0,0,0.5457835890121007,12.0,0,2012,1155
80.0,6.0,9.22,105.5,96.3,63.8,0.008,1.53,102.9,101.3,4.66,130,170,0.43333333333333335,0.5182481751824818,0.3619631901840491,0,0,0,0,0.7261126664486464,68.0,0,2012,1156
185.0,,-1.91,102.8,104.7,63.8,-0.006,-4.95,101.7,106.7,-0.77,143,133,0.5181159420289855,0.5899280575539568,0.44525547445255476,0,0,0,0,0.5004686716433266,142.0,0,2012,1157
160.0,,0.84,102.4,101.6,66.4,0.03,-3.23,101.2,104.5,4.05,175,126,0.5813953488372093,0.5900621118012422,0.5714285714285714,0,0,0,0,0.36783311130728735,120.0,0,2012,1158
324.0,,-18.21,97.7,115.9,64.8,0.064,-4.45,100.1,104.5,-5.74,146,150,0.49324324324324326,0.6412213740458015,0.37575757575757573,0,0,0,0,0.4735792605979068,278.0,0,2012,1159
81.0,11.0,8.89,104.8,95.9,65.1,0.081,5.35,105.7,100.4,0.06,200,121,0.6230529595015576,0.7383720930232558,0.4899328859060403,1,0,0,0,-0.7960507358995457,65.0,0,2012,1160
88.0,11.0,8.17,111.9,103.7,63.6,0.075,4.39,104.7,100.3,0.85,177,127,0.5822368421052632,0.6607142857142857,0.4852941176470588,0,0,0,0,0.01096321676988421,128.0,0,2012,1161
184.0,,-1.85,101.1,103.0,62.4,-0.048,-2.9,100.8,103.7,-4.0,102,145,0.41295546558704455,0.525,0.30708661417322836,0,0,0,0,0.38466748347767055,222.0,0,2012,1162
38.0,9.0,14.53,111.3,96.8,63.0,-0.032,8.25,107.3,99.1,-0.46,189,126,0.6,0.6521739130434783,0.5267175572519084,1,2,2,3,0.2740577350534793,4.0,0,2012,1163
273.0,,-9.52,106.6,116.1,68.3,-0.004,-6.72,98.2,104.9,5.68,83,213,0.28040540540540543,0.336283185840708,0.2459016393442623,0,0,0,0,0.411831265246006,235.0,0,2012,1164
207.0,,-3.43,98.1,101.6,67.3,0.029,1.01,102.9,101.9,3.66,81,167,0.32661290322580644,0.4074074074074074,0.2642857142857143,0,0,0,0,0.4150934683294901,139.0,0,2012,1165
28.0,8.0,16.47,119.2,102.7,65.9,0.079,3.79,104.9,101.1,-0.47,217,101,0.6823899371069182,0.7428571428571429,0.6083916083916084,1,0,0,0,0.4725206648953192,74.0,0,2012,1166
,,,,,,,,,,,132,148,0.4714285714285714,0.5691056910569106,0.39490445859872614,0,0,0,0,-0.8099907129831092,332.0,0,2012,1167
159.0,,0.9,109.1,108.2,68.3,0.006,-6.6,100.0,106.6,-8.72,118,161,0.4229390681003584,0.4772727272727273,0.3741496598639456,0,0,0,0,-0.7885519896063184,261.0,0,2012,1168
303.0,,-13.77,98.2,112.0,67.9,-0.049,-2.32,102.2,104.5,-0.25,94,192,0.32867132867132864,0.36923076923076925,0.2948717948717949,0,0,0,0,-0.8099907129831092,302.0,0,2012,1169
292.0,,-12.03,98.2,110.2,64.9,-0.087,-7.23,101.0,108.3,-7.04,110,162,0.40441176470588236,0.5317460317460317,0.2945205479452055,0,0,0,0,-0.34668982254749436,313.0,0,2012,1170
296.0,,-12.92,91.2,104.1,62.6,-0.077,-3.27,101.4,104.7,-6.23,78,168,0.3170731707317073,0.4336283185840708,0.21804511278195488,0,0,0,0,0.38466748347767055,298.0,0,2012,1171
71.0,13.0,10.65,112.0,101.4,67.4,0.008,-3.0,101.5,104.5,8.78,199,102,0.6611295681063123,0.6973684210526315,0.6241610738255033,0,0,0,0,0.5165517649247817,114.0,0,2012,1172
69.0,2.0,10.78,113.3,102.5,64.2,-0.016,4.01,104.6,100.5,-0.09,211,97,0.685064935064935,0.7362637362637363,0.6111111111111112,0,0,0,0,0.8984304428359671,82.0,0,2012,1173
169.0,,-0.02,103.4,103.4,67.2,0.039,-1.62,100.6,102.2,-2.28,144,153,0.48484848484848486,0.5323741007194245,0.4430379746835443,0,0,0,0,0.3929121076613433,181.0,0,2012,1174
240.0,,-6.55,101.3,107.8,60.3,0.012,-6.91,98.3,105.2,4.1,74,211,0.2596491228070175,0.28695652173913044,0.2411764705882353,0,0,0,0,0.411831265246006,290.0,0,2012,1175
73.0,,10.41,110.9,100.5,60.2,-0.072,-2.64,101.6,104.2,-0.32,129,160,0.4463667820069204,0.5333333333333333,0.35251798561151076,0,0,0,0,0.05716929888828548,149.0,0,2012,1176
150.0,,1.69,108.5,106.9,71.4,-0.042,4.72,104.2,99.5,-9.74,111,191,0.3675496688741722,0.40437158469945356,0.31092436974789917,1,0,0,0,0.5164588677508811,147.0,0,2012,1177
115.0,15.0,5.48,108.1,102.6,67.1,-0.008,0.35,102.2,101.8,1.14,120,177,0.40404040404040403,0.5035460992907801,0.3141025641025641,0,0,0,0,0.7503933952269757,77.0,0,2012,1178
141.0,,2.63,101.1,98.5,65.8,0.036,3.1,104.7,101.6,-0.51,142,160,0.47019867549668876,0.5370370370370371,0.39285714285714285,0,0,0,0,0.5890250630634085,127.0,0,2012,1179
45.0,3.0,13.53,109.9,96.4,60.4,0.024,-2.05,100.7,102.7,-2.31,130,168,0.436241610738255,0.4583333333333333,0.4155844155844156,0,0,0,0,0.4408438087949319,94.0,0,2012,1180
19.0,2.0,19.7,117.7,98.0,66.4,0.057,8.18,107.3,99.1,7.68,252,71,0.7801857585139319,0.8228571428571428,0.7297297297297297,1,1,1,1,0.9012810898350778,6.0,0,2012,1181
124.0,,4.29,107.2,102.9,67.1,0.026,5.15,105.8,100.6,0.59,137,158,0.46440677966101696,0.5174418604651163,0.3902439024390244,0,0,0,0,0.4545969113309978,67.0,0,2012,1182
298.0,,-13.07,97.6,110.6,63.1,0.018,-6.67,99.7,106.3,-7.17,115,172,0.40069686411149824,0.46153846153846156,0.3503184713375796,0,0,0,0,0.7575534989153445,311.0,0,2012,1183
265.0,,-8.94,100.7,109.7,61.4,0.054,-5.51,101.1,106.6,-4.33,153,142,0.5186440677966102,0.6102941176470589,0.44025157232704404,0,0,0,0,0.4545969113309978,280.0,0,2012,1184
263.0,,-8.83,90.5,99.4,59.2,0.096,-0.97,102.4,103.4,2.54,130,152,0.46099290780141844,0.6287878787878788,0.31333333333333335,0,0,0,0,0.7995278987226369,233.0,0,2012,1185
208.0,,-3.49,101.4,104.9,67.6,-0.047,-3.05,103.3,106.4,5.29,163,135,0.5469798657718121,0.704,0.43352601156069365,0,0,0,0,0.38945816913172737,230.0,0,2012,1186
135.0,,3.23,104.6,101.4,65.1,-0.093,2.38,103.6,101.2,-4.57,115,173,0.3993055555555556,0.5,0.2661290322580645,0,0,0,0,0.5457835890121007,125.0,0,2012,1187
307.0,,-15.1,95.4,110.5,67.7,0.06,-5.63,100.3,105.9,-5.33,76,198,0.2773722627737226,0.3435114503816794,0.21678321678321677,0,0,0,0,0.8043412685703206,335.0,0,2012,1188
255.0,,-8.22,97.9,106.1,68.3,0.072,-4.0,101.1,105.1,5.98,131,157,0.4548611111111111,0.4744525547445255,0.4370860927152318,0,0,0,0,0.3474799886254972,219.0,0,2012,1189
146.0,,2.21,101.8,99.6,64.1,-0.017,-0.73,104.0,104.7,0.1,185,117,0.6125827814569537,0.6714285714285714,0.5617283950617284,0,0,0,0,0.6355622263887926,178.0,0,2012,1190
119.0,,5.17,110.7,105.6,66.4,-0.023,3.19,104.6,101.4,-3.35,141,161,0.46688741721854304,0.572289156626506,0.3382352941176471,0,0,0,0,0.8463518550674463,141.0,0,2012,1191
335.0,,-21.19,87.8,109.0,66.5,0.034,-3.99,101.5,105.5,-0.61,101,189,0.3482758620689655,0.44166666666666665,0.2823529411764706,0,0,0,0,0.31520254149384597,336.0,0,2012,1192
113.0,,5.66,100.6,95.0,64.0,-0.066,-1.42,102.6,104.0,3.69,135,180,0.42857142857142855,0.4407894736842105,0.4171779141104294,0,0,0,0,0.3864265886834499,88.0,0,2012,1193
201.0,,-2.99,101.5,104.4,63.4,-0.048,1.74,103.3,101.6,8.65,99,182,0.35231316725978645,0.42424242424242425,0.28859060402684567,0,0,0,0,-0.004594359359214817,157.0,0,2012,1194
176.0,,-0.88,105.2,106.1,66.5,-0.028,-0.5,103.4,103.9,-2.22,162,128,0.5586206896551724,0.6510067114093959,0.46099290780141844,0,0,0,0,0.7490393649073904,299.0,0,2012,1195
10.0,7.0,22.47,120.4,98.0,64.2,-0.043,7.18,105.4,98.2,-1.67,212,106,0.6666666666666666,0.703030303030303,0.6274509803921569,1,1,1,2,0.24779916063082585,8.0,0,2012,1196
317.0,,-17.29,93.4,110.6,67.8,0.039,-6.08,98.9,104.9,1.42,77,206,0.27208480565371024,0.3944954128440367,0.19540229885057472,0,0,0,0,0.47284472480427453,314.0,0,2012,1197
228.0,,-5.45,99.4,104.9,63.7,-0.068,-0.4,102.3,102.7,3.01,116,170,0.40559440559440557,0.4460431654676259,0.3673469387755102,0,0,0,0,0.7227564859915653,254.0,0,2012,1198
24.0,3.0,17.14,107.6,90.4,66.6,0.034,7.54,106.9,99.4,0.82,212,103,0.6730158730158731,0.7428571428571429,0.5857142857142857,1,0,0,0,0.32414335438192454,14.0,0,2012,1199
270.0,,-9.21,94.8,104.0,66.4,0.072,2.62,104.5,101.9,-4.39,95,193,0.3298611111111111,0.4251497005988024,0.19834710743801653,0,0,0,0,0.35657148937124006,234.0,0,2012,1200
179.0,,-1.41,101.4,102.8,61.7,-0.09,0.63,104.2,103.6,0.24,150,144,0.5102040816326531,0.5761589403973509,0.4405594405594406,0,0,0,0,-0.9052535242190223,172.0,0,2012,1201
247.0,,-6.85,98.1,105.0,63.9,0.014,-4.06,101.3,105.3,-0.06,147,141,0.5104166666666666,0.6124031007751938,0.4276729559748428,0,0,0,0,0.5457835890121007,266.0,0,2012,1202
171.0,,-0.68,101.8,102.5,62.6,-0.038,5.43,105.7,100.3,2.69,151,156,0.49185667752442996,0.5588235294117647,0.40875912408759124,0,0,0,0,-0.8726260923856994,95.0,0,2012,1203
246.0,,-6.82,97.8,104.6,65.2,0.07,-3.73,101.0,104.7,4.47,149,143,0.5102739726027398,0.5887096774193549,0.4523809523809524,0,0,0,0,0.354304150208249,291.0,0,2012,1204
269.0,,-9.2,95.3,104.6,63.9,-0.031,-4.46,102.0,106.4,-0.43,145,151,0.48986486486486486,0.6068376068376068,0.4134078212290503,0,0,0,0,0.539456319289747,237.0,0,2012,1205
110.0,,6.08,104.2,98.1,67.1,0.048,-2.2,101.0,103.2,-3.96,154,155,0.49838187702265374,0.5057471264367817,0.4888888888888889,0,0,0,0,0.4843807174632374,43.0,0,2012,1206
15.0,3.0,21.05,111.2,90.1,62.1,-0.014,8.32,107.3,99.0,-1.04,176,131,0.5732899022801303,0.6182795698924731,0.5041322314049587,1,0,0,1,0.4725206648953192,83.0,0,2012,1207
112.0,,5.97,104.7,98.7,61.5,0.033,7.99,106.9,99.0,0.99,164,149,0.5239616613418531,0.6137566137566137,0.3870967741935484,1,0,0,0,0.475542523546328,111.0,0,2012,1208
84.0,,8.57,102.1,93.5,63.9,-0.075,-3.85,101.1,104.9,-8.68,189,108,0.6363636363636364,0.7388059701492538,0.5521472392638037,0,0,0,0,0.5354936067030712,184.0,0,2012,1209
174.0,,-0.86,98.5,99.3,62.2,-0.073,3.65,104.1,100.4,-0.81,151,159,0.4870967741935484,0.572972972972973,0.36,1,0,0,0,0.32414335438192454,110.0,0,2012,1210
21.0,7.0,18.39,113.1,94.7,64.8,-0.018,2.08,104.9,102.8,1.05,287,33,0.896875,0.8895705521472392,0.9044585987261147,0,0,0,0,-0.692944054567368,23.0,0,2012,1211
345.0,,-30.22,85.3,115.5,64.3,0.024,-9.08,96.0,105.1,5.28,79,200,0.2831541218637993,0.3644859813084112,0.23255813953488372,0,0,0,0,0.34396339851348323,338.0,0,2012,1212
,,,,,,,,,,,137,89,0.6061946902654868,0.6666666666666666,0.53,0,0,0,0,-0.4764785165833607,,0,2012,1213
286.0,,-10.53,92.1,102.6,67.1,-0.051,-8.07,99.3,107.4,-4.16,142,157,0.47491638795986624,0.5384615384615384,0.4260355029585799,0,0,0,0,0.38876684132595596,216.0,0,2012,1214
,,,,,,,,,,,0,0,,,,0,0,0,0,,,0,2012,1215
305.0,,-14.72,91.3,106.0,64.2,-0.019,-6.2,99.1,105.3,-3.04,140,164,0.4605263157894737,0.4965986394557823,0.4267515923566879,0,0,0,0,0.27706933180737126,324.0,0,2012,1216
41.0,12.0,14.34,108.8,94.4,60.7,0.027,-0.87,101.4,102.2,0.65,170,82,0.6746031746031746,0.7636363636363637,0.6056338028169014,0,0,0,0,0.18671926879122147,66.0,0,2012,1217
213.0,,-4.03,103.3,107.3,69.6,0.035,-1.75,102.4,104.2,-6.13,162,124,0.5664335664335665,0.6032608695652174,0.5,0,0,0,0,-0.9084552361195015,167.0,0,2012,1218
234.0,,-6.17,105.5,111.6,63.7,-0.066,-4.84,101.1,105.9,-0.57,130,149,0.4659498207885305,0.546875,0.3973509933774834,0,0,0,0,0.5253921192410841,273.0,0,2012,1219
219.0,,-4.48,99.0,103.5,65.4,-0.121,-1.1,101.9,103.0,-3.91,165,146,0.5305466237942122,0.5324675324675324,0.5286624203821656,0,0,0,0,0.3474799886254972,187.0,0,2012,1220
224.0,,-5.0,99.0,104.0,65.3,0.055,-4.25,101.0,105.2,-1.3,124,172,0.4189189189189189,0.5185185185185185,0.33540372670807456,0,0,0,0,0.18671926879122147,211.0,0,2012,1221
190.0,,-2.31,105.6,107.9,66.1,-0.001,-1.35,101.6,103.0,-8.74,208,102,0.6709677419354839,0.7528089887640449,0.5606060606060606,0,0,0,0,0.11861159772607166,229.0,0,2012,1222
319.0,,-17.48,93.2,110.7,70.2,0.015,-7.25,100.1,107.3,-2.02,78,194,0.2867647058823529,0.43859649122807015,0.17721518987341772,0,0,0,0,-0.01891240633655955,331.0,0,2012,1223
308.0,,-15.16,91.0,106.1,65.4,0.04,-3.99,100.5,104.5,9.4,78,199,0.2815884476534296,0.3274336283185841,0.25,0,0,0,0,-0.8726260923856994,322.0,0,2012,1224
156.0,,1.29,106.6,105.3,62.5,0.012,-0.77,103.7,104.5,-1.9,118,171,0.4083044982698962,0.4397163120567376,0.3783783783783784,0,0,0,0,-0.7375012118490345,221.0,0,2012,1225
304.0,,-13.93,97.1,111.0,64.9,0.027,-3.06,101.9,104.9,2.01,80,195,0.2909090909090909,0.3770491803278688,0.2222222222222222,0,0,0,0,0.38945816913172737,328.0,0,2012,1226
,,,,,,,,,,,106,189,0.3593220338983051,0.43333333333333335,0.2827586206896552,0,0,0,0,0.8389033380601072,274.0,0,2012,1227
76.0,,9.49,104.3,94.8,64.2,-0.005,8.41,109.0,100.6,-2.2,176,142,0.5534591194968553,0.6032608695652174,0.48507462686567165,1,0,0,0,0.8938390540259178,75.0,0,2012,1228
93.0,7.0,7.79,109.3,101.5,63.4,0.004,2.54,104.4,101.9,-7.47,164,145,0.5307443365695793,0.6242424242424243,0.4236111111111111,0,0,0,0,0.8184346340107895,164.0,0,2012,1229
,,,,,,,,,,,61,126,0.32620320855614976,0.4268292682926829,0.24761904761904763,0,0,0,0,-0.06254653297755164,,0,2012,1230
9.0,4.0,22.55,120.2,97.6,66.7,0.007,8.41,107.4,99.0,-4.96,197,121,0.6194968553459119,0.7193877551020408,0.45901639344262296,1,0,0,0,0.9518938466154238,37.0,0,2012,1231
137.0,,3.09,102.0,98.9,64.0,0.06,3.16,104.8,101.6,-1.86,148,147,0.5016949152542373,0.5723684210526315,0.42657342657342656,0,0,0,0,0.932982790528485,72.0,0,2012,1232
54.0,14.0,12.26,115.5,103.2,70.0,-0.011,-1.04,102.6,103.7,4.87,198,110,0.6428571428571429,0.6846153846153846,0.6123595505617978,0,0,0,0,0.3111588139299313,52.0,0,2012,1233
101.0,7.0,7.15,111.6,104.4,67.3,0.011,7.01,107.4,100.4,-9.2,195,124,0.6112852664576802,0.694300518134715,0.48412698412698413,1,0,0,0,0.6861306949815813,73.0,0,2012,1234
26.0,8.0,16.69,113.9,97.2,65.8,-0.004,7.22,107.0,99.8,-4.08,189,128,0.5962145110410094,0.7052023121387283,0.4652777777777778,1,0,0,0,0.5761155964903232,121.0,0,2012,1235
272.0,,-9.52,98.3,107.8,68.4,0.022,-2.84,104.1,107.0,-6.51,144,144,0.5,0.6153846153846154,0.4050632911392405,0,0,0,0,0.6564613900171725,195.0,0,2012,1236
202.0,,-3.04,107.9,110.9,65.3,-0.028,-1.59,102.8,104.4,-1.2,89,198,0.31010452961672474,0.421875,0.22012578616352202,0,0,0,0,0.6994365948432887,159.0,0,2012,1237
332.0,,-20.45,88.5,108.9,60.7,-0.027,-7.13,97.0,104.2,15.79,114,177,0.3917525773195876,0.5909090909090909,0.27071823204419887,0,0,0,0,0.48727997344869145,315.0,0,2012,1238
242.0,,-6.68,99.5,106.1,65.4,-0.019,2.3,104.6,102.3,7.15,104,180,0.36619718309859156,0.4583333333333333,0.29878048780487804,0,0,0,0,0.16991298181294778,186.0,0,2012,1239
203.0,,-3.24,98.6,101.8,63.3,-0.084,-4.72,100.9,105.6,-1.53,139,154,0.47440273037542663,0.5491803278688525,0.42105263157894735,0,0,0,0,0.23520565246897196,293.0,0,2012,1240
